"numrex","codereference","codepublic","codemonnaie","codetauxmonnaie","gainfinancierrex","gainfinancierperioderex","energierex","codeuniteenergie","codeperiodeenergie","codeenergierex","gesrex","ratiogainrex","trirex","capexrex","capexperioderex","opexrex","codeTechno1","codeTechno2","codeTechno3","codetravaux","codereseau","codelicense","availablelangue"
"587","1609","3","7","7","215000","3","51000","5","3","2",NULL,NULL,"1.5","300000","2",NULL,"16","1","1","1","1","3","2,3,4"
"588","1610","3","7","7","700000","3","300","12","3","2",NULL,NULL,NULL,"700000","2","500000","11","1","1","1","1","3","2,3,4"
"589","1611","3","7","7","100000","3","25000","5","3","1",NULL,NULL,"4","400000","2",NULL,"21","1","1","1","1","3","2,3,4"
"590","1612","3","7","7","64000","3","20","12","3","2",NULL,"0.075","0.58","35000","2",NULL,"18","1","1","3","1","3","2,3,4"
"591","1613","3","7","7","8440","3","1920","5","3","2",NULL,NULL,"3","25000","1",NULL,"15","1","1","3","1","3","2,3,4"
"592","1614","3","7","7","495000","3","500","30","3","2",NULL,NULL,NULL,NULL,"1",NULL,"13","1","1","1","1","3","2,3,4"
"593","1615","3","7","7","4790000","3","1065000","5","3","1",NULL,NULL,"1.98","9500000","2",NULL,"24","1","1","3","1","3","2,3,4"
"594","1616","3","7","7","68000","3","15000","5","3","1",NULL,NULL,"0",NULL,"1",NULL,"14","1","1","3","1","3","2,3,4"
"595","1617","3","7","7","40000","3","9000","5","3","2",NULL,NULL,NULL,NULL,"1",NULL,"13","1","1","3","3","3","2,3,4"
"597","1685","3","1","1",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"7","9","1","2","3","3","2,3,4"
"598","1686","3","3","3","7000000","1",NULL,"1","3","1",NULL,NULL,NULL,NULL,"1",NULL,"33","19","1","3","2","3","2,3,4"
"599","1687","2","3","3","39000","3",NULL,"1","3","1",NULL,"0.4","12.8","16700000","2",NULL,"7","8","9","2","1","3","2,3,4"
"600","1688","2","3","3","56000","3",NULL,"1","3","1",NULL,NULL,"9.6","540000","2",NULL,"46","8","1","3","3","3","2,3,4"
"601","1689","2","3","3","2000000","2","22","3","2","2","15000",NULL,NULL,NULL,"1",NULL,"8","1","1","3","3","3","2,3,4"
"602","1690","2","3","3","60000","3",NULL,"1","1","1",NULL,"0.57","2.5","150000","2",NULL,"9","7","8","2","3","3","2,3,4"
"603","1691","2","3","3","3100","3",NULL,"1","1","1",NULL,NULL,"8","24200","2",NULL,"9","45","7","2","2","3","2,3,4"
"604","1692","2","3","3","40000","3",NULL,"1","3","1","350",NULL,"4.7","187500","2",NULL,"8","9","7","3","1","3","2,3,4"
"605","1693","3","3","3","1000000","3",NULL,"1","1","2",NULL,"0.25","86","86000000","2",NULL,"6","7","1","2","1","3","2,3,4"
"606","1694","1","3","3","285000","3",NULL,"1","3","1",NULL,NULL,"7.4","2100000","2",NULL,"8","14","1","3","1","3","2,3,4"
"607","1695","1","3","3","33150","1","398000","5","3","2",NULL,NULL,NULL,NULL,"1",NULL,"3","1","1","3","1","3","2,3,4"
"608","1696","1","3","3","14000","3",NULL,"1","1","1",NULL,NULL,"8","114000","2",NULL,"41","9","8","3","3","3","2,3,4"
"609","1697","1","3","3","929000","1",NULL,"1","3","1",NULL,NULL,NULL,"500000","1",NULL,"3","7","29","3","1","3","2,3,4"
"610","1698","1","1","1",NULL,"1",NULL,"1","1","1",NULL,"0.3",NULL,NULL,"1",NULL,"9","8","7","1","1","3","2,3,4"
"611","1699","2","1","1",NULL,"1",NULL,"1","1","1","8200","0.18",NULL,NULL,"1",NULL,"33","1","1","3","3","3","2,3,4"
"612","1700","2","3","3","2571380","1",NULL,"1","3","1",NULL,NULL,"20","43000000","2",NULL,"3","14","8","1","1","3","2,3,4"
"613","1701","2","3","3","6070","3","88726","5","3","2",NULL,"0.5","1.7","15060","2",NULL,"8","1","1","3","1","3","2,3,4"
"614","1702","2","3","3","308000","3","3160","12","3","2",NULL,NULL,"13","4000000","2",NULL,"12","8","1","3","1","3","2,3,4"
"615","1703","3","3","3","78940","3","2","3","3","2",NULL,NULL,"5.9","464000","2",NULL,"14","18","1","3","1","3","2,3,4"
"616","1704","3","3","3","100000","1",NULL,"1","1","1",NULL,"0.03",NULL,NULL,"1",NULL,"7","14","11","3","1","3","2,3,4"
"617","1705","3","3","3","71930","1","1354","12","3","1",NULL,NULL,NULL,NULL,"1",NULL,"16","18","1","3","1","3","2,3,4"
"618","1706","3","3","3","62663","3","2088760","5","3","2",NULL,NULL,"6.1","383412","2",NULL,"8","11","1","3","3","3","2,3,4"
"619","1707","3","3","3","200000","1","2","3","3","2",NULL,"0.25","0.8","250000","2",NULL,"7","15","8","3","1","3","2,3,4"
"620","1708","3","3","3","400000","3","2","3","3","2",NULL,"0.09","1.1","450000","2",NULL,"3","12","8","3","1","3","2,3,4"
"621","1709","3","3","3",NULL,"1",NULL,"1","1","1",NULL,"0.25","3",NULL,"1",NULL,"7","8","54","2","1","3","2,3,4"
"622","1710","3","1","1",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"30","8","1","3","1","3","2,3,4"
"623","1711","3","3","3","9400","3","115000","5","3","2",NULL,"0.2","1.5","26000","2",NULL,"8","1","1","3","1","3","2,3,4"
"624","1712","3","3","3","59079","3","1969294","5","3","2",NULL,NULL,"4.5","266057","2",NULL,"16","1","1","1","1","3","2,3,4"
"625","1713","3","1","1",NULL,"1",NULL,"1","1","1","12","0.52",NULL,NULL,"1",NULL,"9","7","8","2","1","3","2,3,4"
"626","1714","3","3","1","579","3",NULL,"1","3","1",NULL,NULL,"2","1142","2",NULL,"9","8","3","1","1","3","2,3,4"
"627","1715","3","3","3","1140","3",NULL,"1","3","3",NULL,NULL,"3.9","4400","2",NULL,"9","1","1","3","3","3","2,3,4"
"628","1716","3","3","3","930000","1","452000","11","3","3",NULL,NULL,NULL,NULL,"1",NULL,"19","25","20","1","1","3","2,3,4"
"629","1717","3","1","1",NULL,"1",NULL,"1","1","1",NULL,"0.6","5",NULL,"1",NULL,"8","7","9","2","2","3","2,3,4"
"630","1718","3","3","3","925","3","30850","5","3","2",NULL,NULL,"4.9","4533","2",NULL,"8","1","1","3","3","3","2,3,4"
"631","1719","3","3","3","300000","1",NULL,"1","1","1",NULL,NULL,NULL,"1350000","2",NULL,"12","3","8","3","3","3","2,3,4"
"632","1720","3","1","1",NULL,"1","418500","5","3","1",NULL,"0.39",NULL,NULL,"1",NULL,"8","9","7","1","1","3","2,3,4"
"633","1721","3","1","1",NULL,"1","6300","11","1","1","858",NULL,"5",NULL,"1",NULL,"9","7","8","2","3","3","2,3,4"
"634","1722","3","3","3","80000","1",NULL,"1","1","1",NULL,"0.37",NULL,"46000000","1",NULL,"9","29","7","2","3","3","2,3,4"
"635","1723","3","1","1",NULL,"1",NULL,"1","1","1","26.3","0.31",NULL,NULL,"1",NULL,"7","8","9","3","3","3","2,3,4"
"636","1724","3","3","3","4400","3","97200","5","3","1",NULL,NULL,"7","30000","2",NULL,"3","7","11","2","1","3","2,3,4"
"637","1725","3","3","3","200000","3",NULL,"1","3","1",NULL,NULL,"1.8","350000","2","350000","19","1","1","3","3","3","2,3,4"
"639","1727","1","1","1",NULL,"1",NULL,"1","1","1",NULL,"0.33",NULL,NULL,"1",NULL,"3","1","1","1","1","3","2,3,4"
"640","1728","1","3","3","108000","3",NULL,"1","1","1",NULL,"0.276","12","1300000","2",NULL,"8","7","3","1","1","3","2,3,4"
"641","1729","3","4","4",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,"600000","2",NULL,"3","13","1","3","1","3","2,3,4"
"642","1730","3","4","4",NULL,"1","30000","2","3","1",NULL,NULL,NULL,"630000","2",NULL,"24","13","1","3","1","3","2,3,4"
"643","1731","3","4","4","4700000","3","111000","2","3","1","30000","0.13","2.4","11200000","2",NULL,"7","8","54","3","1","3","2,3,4"
"644","1732","3","4","4","555000","3","32500","2","3","1","5703","0.35","4.5","2750000","2",NULL,"12","1","1","3","3","3","2,3,4"
"645","1733","3","1","1",NULL,"1",NULL,"1","1","1",NULL,"0.07","4",NULL,"1",NULL,"14","15","1","3","1","3","2,3,4"
"646","1734","3","1","1",NULL,"1",NULL,"1","1","1",NULL,"0.14",NULL,NULL,"1",NULL,"54","1","1","1","1","3","2,3,4"
"647","1735","3","1","1",NULL,"1","38000","7","3","7","103",NULL,NULL,NULL,"1",NULL,"54","1","1","3","1","3","2,3,4"
"648","1736","3","1","1",NULL,"1","8","34","2","1",NULL,NULL,NULL,NULL,"1",NULL,"19","1","1","1","1","3","2,3,4"
"649","1737","3","1","1",NULL,"1","1400","12","3","1",NULL,NULL,NULL,NULL,"1",NULL,"18","19","1","1","1","3","2,3,4"
"650","1738","3","4","4","365000","1",NULL,"1","1","1","4700",NULL,NULL,NULL,"1",NULL,"33","1","1","3","2","3","2,3,4"
"651","1739","2","1","1",NULL,"1","42592","2","3","1",NULL,"0.5",NULL,NULL,"1",NULL,"4","1","1","3","3","3","2,3,4"
"652","1740","3","4","4","112000","1","1400","12","3","1",NULL,"0.08","3","330000","1",NULL,"14","3","1","3","1","3","2,3,4"
"653","1741","3","4","4","300000","1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"19","1","1","1","1","3","2,3,4"
"654","1742","3","12","12","720000","1","37385","2","3","4","2916",NULL,NULL,NULL,"1",NULL,"21","1","1","3","1","3","2,3,4"
"655","1743","3","12","12","402129","1","453477","7","3","4",NULL,NULL,NULL,NULL,"1",NULL,"11","8","19","1","1","3","2,3,4"
"657","1745","3","12","12","1879500","3","60100","2","3","1",NULL,NULL,"4","7468000","2",NULL,"21","24","30","3","1","3","2,3,4"
"658","1746","3","12","12","1911000","1","24522","2","3","1","516",NULL,NULL,NULL,"1",NULL,"11","17","24","3","1","3","2,3,4"
"659","1747","3","12","12","1000000","3","35000","2","3","1",NULL,NULL,"1","1000000","2",NULL,"17","14","15","3","1","3","2,3,4"
"660","1748","3","3","3","78490","1","1486","11","3","1",NULL,"0.18",NULL,NULL,"1",NULL,"21","13","8","3","3","3","2,3,4"
"661","1749","3","3","3","500000","1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"19","1","1","3","3","3","2,3,4"
"662","1750","3","3","3","11000000","3","331071","12","3","1",NULL,NULL,NULL,"31148000","2",NULL,"19","21","3","2","1","3","2,3,4"
"663","1751","3","3","3","55581","3","674923","5","3","2","443",NULL,"1.3","70000","2",NULL,"8","1","1","1","1","3","2,3,4"
"664","1752","3","3","3",NULL,"1",NULL,"1","1","1",NULL,NULL,"0.1","1500","2",NULL,"3","1","1","1","1","3","2,3,4"
"665","1753","3","3","3","11500000","1",NULL,"1","1","1",NULL,"0.3",NULL,NULL,"1",NULL,"15","11","14","3","3","3","2,3,4"
"666","1754","3","3","3","400000","1","7","3","3","1",NULL,NULL,NULL,"200000","1",NULL,"21","18","7","1","1","3","2,3,4"
"667","1755","3","3","3","19000","3",NULL,"1","1","2",NULL,NULL,"0.1","1500","2",NULL,"3","1","1","1","1","3","2,3,4"
"668","1756","3","3","3","2000000","1","28007620","5","3","1",NULL,NULL,NULL,NULL,"1",NULL,"3","11","1","1","1","3","2,3,4"
"669","1757","3","3","3","117000000","1",NULL,"1","2","1",NULL,NULL,NULL,NULL,"1",NULL,"3","21","1","1","1","3","2,3,4"
"670","1758","3","3","3","2870000","1","37100000","5","2","1",NULL,NULL,NULL,NULL,"1",NULL,"17","24","8","1","1","3","2,3,4"
"671","1759","3","3","3","4000000","1",NULL,"1","2","1",NULL,NULL,NULL,NULL,"1",NULL,"11","7","1","1","1","3","2,3,4"
"672","1760","3","1","1",NULL,"1",NULL,"1","1","1",NULL,"0.26",NULL,NULL,"1",NULL,"12","11","1","1","1","3","2,3,4"
"673","1761","3","3","3","250000","1","9290","12","3","1",NULL,"0.149",NULL,NULL,"1",NULL,"21","17","3","1","1","3","2,3,4"
"674","1762","3","3","3","55000","1",NULL,"1","1","1",NULL,"0.25",NULL,"55000","1",NULL,"12","11","15","1","1","3","2,3,4"
"675","1763","3","3","3","2600000","3",NULL,"1","3","1",NULL,NULL,"5.25","15000000","2",NULL,"15","8","17","3","3","3","2,3,4"
"676","1764","3","3","3","26427045","3",NULL,"1","3","1",NULL,NULL,"0.8","20510250","2",NULL,"19","11","16","3","1","3","2,3,4"
"677","1765","3","3","3",NULL,"1",NULL,"1","1","1","82647",NULL,NULL,"21910000","2",NULL,"50","17","15","3","3","3","2,3,4"
"678","1766","3","3","3","447795","3",NULL,"1","3","1",NULL,"0.142","0.5","212400","2",NULL,"14","11","8","3","1","3","2,3,4"
"680","1772","2","2","2","294000","1",NULL,"1","1","1","5500","0.17",NULL,"1800000","2",NULL,"7","12","50","1","1","3","2,3,4"
"686","1769","2","2","2",NULL,"1",NULL,"1","1","1",NULL,"0.4",NULL,"4000000","2",NULL,"9","12","1","3","1","3","2,3,4"
"687","1769","3","2","2",NULL,"1",NULL,"1","1","1",NULL,"0.58",NULL,"1800000","2",NULL,"9","12","1","1","1","3","2,3,4"
"688","1769","3","2","2",NULL,"1",NULL,"1","1","1",NULL,"0.18",NULL,"196000","2",NULL,"9","12","1","1","1","3","2,3,4"
"689","1775","3","5","5","3200000","1",NULL,"1","3","1","38000",NULL,NULL,"127000","2",NULL,"19","1","1","1","1","3","2,3,4"
"690","1776","2","5","5","80000","3",NULL,"1","3","1",NULL,"0.05","8.3","670000","2",NULL,"16","15","13","3","1","3","2,3,4"
"691","1777","2","5","5","305870","3","27166","2","3","1",NULL,NULL,"5.6","2100000","2",NULL,"8","7","29","3","1","3","2,3,4"
"692","1778","3","5","5","58100","3","216000","5","3","1",NULL,"0.19","2","116000","2",NULL,"7","1","1","3","3","3","2,3,4"
"693","1779","1","5","5","42000","3",NULL,"1","1","1",NULL,"0.04","3.5","146000","2",NULL,"3","1","1","1","1","3","2,3,4"
"694","1780","1","5","5","300000","1",NULL,"1","3","1",NULL,NULL,NULL,"1035600","2",NULL,"3","8","7","3","1","3","2,3,4"
"695","1781","3","3","3","63200","1",NULL,"1","1","1","1581",NULL,NULL,NULL,"1",NULL,"8","1","1","1","1","3","2,3,4"
"696","1782","3","3","3",NULL,"1",NULL,"5","1","1",NULL,"0.22",NULL,NULL,"1",NULL,"19","1","1","3","1","3","2,3,4"
"697","1783","3","4","4","166666","3","1400000","5","3","1",NULL,NULL,"2","330000","2",NULL,"13","1","1","3","2","3","2,3,4"
"698","1784","3","3","3","64000","1","1400000","5","3","1",NULL,NULL,NULL,NULL,"1",NULL,"8","1","1","3","3","3","2,3,4"
"699","1785","3","3","3","94075","1","2470000","5","3","1",NULL,NULL,NULL,NULL,"1",NULL,"11","1","1","3","1","3","2,3,4"
"700","1786","2","3","3",NULL,"1",NULL,"1","1","1",NULL,"0.27",NULL,"10700000","2",NULL,"8","45","7","2","2","3","2,3,4"
"701","1787","2","3","3",NULL,"1","123867","5","3","1",NULL,NULL,NULL,NULL,"1",NULL,"8","1","1","3","1","3","2,3,4"
"702","1788","3","3","3","80000","1","800000","5","3","2",NULL,NULL,NULL,NULL,"1",NULL,"8","1","1","3","3","3","2,3,4"
"703","1789","1","3","3","324417","1","1361656","5","3","2",NULL,NULL,NULL,NULL,"1",NULL,"3","1","1","1","1","3","2,3,4"
"704","1790","2","3","3","40000000","1",NULL,"2","2","1","2400000",NULL,NULL,NULL,"1",NULL,"12","33","1","3","3","3","2,3,4"
"705","1791","3","3","3","126000","1",NULL,"1","1","1",NULL,NULL,"2.6","330000","2",NULL,"33","1","1","3","2","3","2,3,4"
"706","1792","3","3","3","39175","1","460882","5","3","1",NULL,NULL,NULL,NULL,"1",NULL,"11","1","1","3","1","3","2,3,4"
"707","1793","3","3","3","27600","1","1272000","5","3","1",NULL,NULL,NULL,NULL,"1",NULL,"8","1","1","3","3","3","2,3,4"
"708","1794","3","3","3","139672","1","3412000","5","3","2",NULL,NULL,NULL,NULL,"1",NULL,"11","1","1","3","1","3","2,3,4"
"709","1795","3","3","3","141500","1","1180000","5","3","1",NULL,"0.12",NULL,NULL,"1",NULL,"8","1","1","3","3","3","2,3,4"
"710","1796","3","1","1",NULL,"1","9278600","5","3","2",NULL,NULL,NULL,NULL,"1",NULL,"8","11","1","3","3","3","2,3,4"
"711","1797","3","3","1","8125","3","116070","5","3","2",NULL,NULL,"5","40000","1",NULL,"8","1","1","3","3","3","2,3,4"
"712","1798","3","3","3","80000","1","2180000","5","3","2",NULL,NULL,NULL,NULL,"1",NULL,"16","15","1","1","1","3","2,3,4"
"713","1799","3","3","3","46000","1","90000","5","3","2",NULL,NULL,NULL,NULL,"1",NULL,"13","8","1","3","1","3","2,3,4"
"714","1800","3","3","3","83096","1","813636","5","3","1",NULL,NULL,"0.25",NULL,"1",NULL,"11","7","21","1","1","3","2,3,4"
"715","1801","3","3","3","300000","1","600","5","3","2",NULL,NULL,NULL,NULL,"1",NULL,"8","7","1","1","1","3","2,3,4"
"716","1802","3","3","3","103940","1","2480648","5","3","2",NULL,NULL,NULL,NULL,"1",NULL,"15","7","1","1","1","3","2,3,4"
"717","1803","3","1","1",NULL,"1",NULL,"1","1","1","73.5",NULL,NULL,NULL,"1",NULL,"12","8","15","3","3","3","2,3,4"
"718","1804","3","3","3","156218","3","2420640","5","3","2",NULL,NULL,"1","135000","2",NULL,"3","13","1","3","1","3","2,3,4"
"719","1805","3","3","3","1900000","1",NULL,"1","3","2",NULL,NULL,NULL,"900000","2",NULL,"14","1","1","2","1","3","2,3,4"
"720","1806","3","3","3",NULL,"1","1702282","5","3","1",NULL,NULL,NULL,NULL,"1",NULL,"19","1","1","4","1","3","2,3,4"
"721","1807","1","1","1",NULL,"1",NULL,"1","1","1",NULL,NULL,NULL,NULL,"1",NULL,"8","49","54","3","1","3","2,3,4"
"722","1808","3","3","3","156863","3",NULL,"1","3","1","549","0.21","1","156000","2",NULL,"7","1","1","3","3","3","2,3,4"
"723","1809","3","3","3","750000","1","7800000","22","3","3",NULL,"0.2",NULL,NULL,"1",NULL,"44","1","1","3","3","3","2,3,4"
"724","1810","3","3","3","1000000","1",NULL,"1","3","1",NULL,NULL,NULL,NULL,"1",NULL,"28","1","1","3","1","3","2,3,4"
"725","1811","3","7","7","150000","3",NULL,"1","3","1",NULL,NULL,"3.7","564000","2",NULL,"45","1","1","2","2","3","2,3,4"
"726","1812","3","7","7","1650000","3",NULL,"1","3","1",NULL,NULL,"0.3","450000","2",NULL,"24","1","1","3","1","3","2,3,4"
"727","1813","3","7","7","9100000","3",NULL,"1","1","1",NULL,NULL,"0.6","5000000","2",NULL,"21","20","1","3","1","3","2,3,4"
"728","1814","3","7","7","2830000","1","8102621","5","3","1",NULL,NULL,NULL,NULL,"1",NULL,"21","1","1","3","1","3","2,3,4"
"729","1815","3","7","7","780000","3","4000","7","4","4",NULL,NULL,"1.2","900000","2",NULL,"24","1","1","3","1","3","2,3,4"
"730","1816","3","7","7","1390000","3","49","16","3","1",NULL,NULL,"0",NULL,"1",NULL,"14","1","1","3","1","3","2,3,4"
"731","1817","3","7","7","150000","3",NULL,"1","3","2",NULL,NULL,"1.3","175000","2",NULL,"19","1","1","3","1","3","2,3,4"
"732","1818","3","7","7","1300000","3",NULL,"1","3","2",NULL,NULL,"1.3","1700000","2",NULL,"18","1","1","3","1","3","2,3,4"
"733","1819","3","7","7","3000000","1",NULL,"1","3","1",NULL,NULL,NULL,NULL,"1",NULL,"19","1","1","3","1","3","2,3,4"
"734","1820","3","7","7","3295000","1",NULL,"1","3","2",NULL,NULL,NULL,"383000","2",NULL,"7","19","11","3","1","3","2,3,4"
"735","1821","3","7","7","3540000","3",NULL,"1","3","1",NULL,NULL,"0.2","3000000","2",NULL,"16","14","1","3","1","3","2,3,4"
"736","1822","3","7","7","780000","3",NULL,"1","3","4",NULL,"0.01","1.2","900000","2",NULL,"12","1","1","3","1","3","2,3,4"
"737","1823","3","7","7","27100000","3",NULL,"1","3","1",NULL,NULL,"1.5","44100000","2",NULL,"17","1","1","3","1","3","2,3,4"
"738","1824","3","7","7","43360000","1",NULL,"1","3","1",NULL,"0.7","1.08","4490000","2",NULL,"19","15","1","3","1","3","2,3,4"
"739","1825","3","7","7","8400000","3",NULL,"1","3","2",NULL,NULL,"1.2","10000000","2",NULL,"11","1","1","3","1","3","2,3,4"
"740","1826","3","7","7","12720000","3",NULL,"1","3","1",NULL,NULL,"0.5","6830000","2",NULL,"18","11","19","3","1","3","2,3,4"
"741","1827","3","7","7","670000","3",NULL,"1","3","2",NULL,NULL,"0.5","230000","2",NULL,"21","1","1","3","1","3","2,3,4"
"742","1828","3","7","7","390000","3",NULL,"1","3","1",NULL,NULL,"0.2","40000","2",NULL,"19","1","1","3","1","3","2,3,4"
"743","1829","3","7","7","20000000","1",NULL,"1","3","1",NULL,NULL,NULL,NULL,"1",NULL,"19","1","1","3","1","3","2,3,4"
"744","1830","3","7","7","569000","3",NULL,"1","3","1","1370",NULL,"0.5","300000","1",NULL,"19","1","1","3","1","3","2,3,4"
"745","1831","3","7","7","1080000","3",NULL,"1","3","2",NULL,NULL,"0.8","900000","2",NULL,"19","1","1","3","1","3","2,3,4"
"746","1832","3","7","7","710000","3","600000","5","3","2",NULL,NULL,"0.5","360000","2",NULL,"18","11","1","3","1","3","2,3,4"
"747","1833","3","7","7","320000","3","27","5","3","2",NULL,NULL,"1.5","460000","2",NULL,"15","1","1","1","1","3","2,3,4"
"748","1834","3","7","7","79360000","3","42896","15","3","9",NULL,NULL,"3","235000000","2",NULL,"38","1","1","2","1","3","2,3,4"
"749","1835","3","7","7","24000000","3",NULL,"1","3","1",NULL,NULL,"1.7","40000000","2",NULL,"44","1","1","2","3","3","2,3,4"
"750","1836","3","7","7","900000","3",NULL,"1","3","2",NULL,"0.1","1.4","690000","2",NULL,"9","7","1","1","1","3","2,3,4"
"751","1837","3","7","7","9200000","1","3400000","5","3","2",NULL,NULL,NULL,NULL,"1",NULL,"18","1","1","1","1","3","2,3,4"
"752","1838","3","7","7","770000","3","241920","5","3","2",NULL,NULL,"0.01","10000","2",NULL,"16","1","1","3","1","3","2,3,4"
"753","1839","3","7","7","4000000","3",NULL,"1","3","1",NULL,NULL,"0.6","2380000","2",NULL,"24","1","1","3","1","3","2,3,4"
"754","1840","3","7","7","22150000","3",NULL,"1","3","1",NULL,NULL,"2.5","55300000","2",NULL,"19","1","1","3","1","3","2,3,4"
"755","1841","3","7","7","12500000","3",NULL,"1","3","1",NULL,NULL,"0.4","4879000","2",NULL,"17","1","1","3","1","3","2,3,4"
"756","1842","3","4","4","1400000","3",NULL,"1","3","1","62000",NULL,"1.1","1560000","1",NULL,"15","12","11","1","1","3","2,3,4"
"757","1843","3","4","4","248600","1",NULL,"1","3","1","5617",NULL,"1.25","304000","2",NULL,"8","11","1","3","2","3","2,3,4"
"758","1844","3","4","4","64680","3",NULL,"1","3","1","888",NULL,"2.8","183885","2",NULL,"11","8","7","3","1","3","2,3,4"
"759","1845","3","4","4","600000","1",NULL,"1","3","1","13760",NULL,NULL,NULL,"1",NULL,"11","19","1","3","1","3","2,3,4"
"760","1846","3","4","4","19360","3",NULL,"1","3","1","2211",NULL,"1.2","23500","2",NULL,"21","1","1","3","1","3","2,3,4"
"761","1847","3","4","4","4000","1",NULL,"1","3","1","50",NULL,NULL,NULL,"1",NULL,"16","1","1","1","1","3","2,3,4"
"762","1848","3","4","4","946000","3",NULL,"1","3","1","11597",NULL,"0.9","840028","2",NULL,"21","16","11","3","1","3","2,3,4"
"763","1849","3","4","4",NULL,"1",NULL,"1","1","1","3981","0.1","2.2",NULL,"1",NULL,"17","11","12","1","1","3","2,3,4"
"764","1850","3","4","4","80000","1",NULL,"1","3","1","1450",NULL,NULL,NULL,"1",NULL,"30","1","1","3","1","3","2,3,4"
"765","1851","3","5","5",NULL,"1","79854","2","3","4","4371",NULL,NULL,"1752365","2",NULL,"7","12","21","3","1","3","2,3,4"
"766","1852","3","5","5",NULL,"1","2289","2","3","1","104",NULL,NULL,"210081","2",NULL,"7","18","1","1","1","3","2,3,4"
"767","1853","3","5","5",NULL,"1","7372","2","3","4",NULL,NULL,NULL,"305100","2",NULL,"12","21","1","3","1","3","2,3,4"
"768","1854","3","5","5",NULL,"1","52453","2","3","1","3180",NULL,NULL,"1379447","2",NULL,"30","18","1","3","1","3","2,3,4"
"769","1855","3","5","5",NULL,"1","1181","2","3","4","87",NULL,NULL,"138212","2",NULL,"17","24","1","1","1","3","2,3,4"
"770","1856","3","5","5",NULL,"1","976","2","3","1","59",NULL,NULL,"357595","2",NULL,"19","1","1","1","1","3","2,3,4"
"771","1857","3","5","5",NULL,"1",NULL,"1","1","8","822",NULL,NULL,"1356713","2",NULL,"25","38","1","3","1","3","2,3,4"
"772","1858","3","5","5",NULL,"1","1614","2","3","1","1469",NULL,NULL,"352892","2",NULL,"38","1","1","1","1","3","2,3,4"
"773","1859","3","5","5",NULL,"1",NULL,"1","1","10","2206",NULL,NULL,"3059558","2",NULL,"38","25","1","3","1","3","2,3,4"
"774","1860","3","5","5",NULL,"1",NULL,"1","1","1","15",NULL,NULL,"59626","2",NULL,"38","1","1","1","1","3","2,3,4"
"775","1861","3","5","5",NULL,"1","73760","2","3","4","6321",NULL,NULL,"2697850","2",NULL,"25","17","1","3","3","3","2,3,4"
"776","1862","3","5","5",NULL,"1","2637","2","3","1","185",NULL,NULL,"336022","2",NULL,"25","21","1","1","1","3","2,3,4"
"777","1863","3","5","5",NULL,"1","1923","2","3","4","138",NULL,NULL,"300540","2",NULL,"25","21","1","1","1","3","2,3,4"
"778","1864","3","5","5",NULL,"1","8313","2","3","4","646",NULL,NULL,"861154","2",NULL,"19","25","1","3","1","3","2,3,4"
"779","1865","3","5","5",NULL,"1","55249","2","3","4","3586",NULL,NULL,"3833778","2",NULL,"25","7","1","3","1","3","2,3,4"
"780","1866","3","5","5",NULL,"1","7365","2","3","1","501",NULL,NULL,"537790","2",NULL,"25","12","1","3","1","3","2,3,4"
"781","1867","3","5","5",NULL,"1","4668","2","3","1","288",NULL,NULL,"157121","2",NULL,"25","21","1","1","1","3","2,3,4"
"782","1868","3","5","5",NULL,"1","561","2","3","1","33",NULL,NULL,"70000","2",NULL,"46","1","1","3","3","3","2,3,4"
"784","1870","3","5","5",NULL,"1","4813","2","3","1","338",NULL,NULL,"328546","2",NULL,"12","1","1","3","1","3","2,3,4"
"785","1871","3","5","5",NULL,"1","921","2","3","1","64",NULL,NULL,"349340","2",NULL,"25","21","1","3","1","3","2,3,4"
"786","1872","3","5","5",NULL,"1","4676","2","3","4","329",NULL,NULL,"903638","2",NULL,"25","21","1","3","1","3","2,3,4"
"787","1873","3","5","5",NULL,"1","2285","2","3","1","161",NULL,NULL,"349340","2",NULL,"25","21","1","3","1","3","2,3,4"
"788","1874","3","5","5",NULL,"1","3295","2","3","1","214",NULL,NULL,"219044","2",NULL,"12","9","1","2","1","3","2,3,4"
"789","1875","3","5","5",NULL,"1","1381","2","3","1","97",NULL,NULL,"59942","2",NULL,"12","1","1","3","1","3","2,3,4"
"790","1876","3","5","5",NULL,"1","4979","2","3","1","276",NULL,NULL,"704000","2",NULL,"25","21","9","3","1","3","2,3,4"
"791","1877","3","5","5",NULL,"1","1831","2","3","1","184",NULL,NULL,"466660","2",NULL,"12","24","15","3","1","3","2,3,4"
"792","1878","3","5","5",NULL,"1","350","2","3","1","17",NULL,NULL,"58305","2",NULL,"7","1","1","3","1","3","2,3,4"
"793","1879","3","5","5",NULL,"1","99","2","3","1","7",NULL,NULL,"33916","2",NULL,"7","1","1","2","1","3","2,3,4"
"794","1880","3","5","5",NULL,"1","469","2","3","1","28",NULL,NULL,"157173","2",NULL,"12","1","1","3","1","3","2,3,4"
